tag,label,section,source_rule,clinical_reviewer,qbc_reviewer,decision,review_date,notes
D061,(復發) 臨床期別 N,復發／de novo mBC,N0：無區域淋巴結轉移（影像學或臨床檢查） N1mi：微小轉移(0.2-2mm) N1：轉移至同側可移動的 I、II 區腋窩淋巴結 N2：轉移至同側 I、II 區腋窩淋巴結，臨床表現為固定或融合；或轉移至同側內乳淋巴結，但無腋窩淋巴結轉移 N3：轉移至同側鎖骨下（III 區腋窩）淋巴結，伴或不伴 I、II 區腋窩淋巴結受累；或轉移至同側內乳淋巴結，伴隨 I、II 區腋窩淋巴結轉移；或同側鎖骨上淋巴結轉移，伴隨或不伴隨腋窩或內乳淋巴結受累 Nx：未知,,,pending,,
D062,(復發) 臨床期別 M,復發／de novo mBC,M0：遠端器官沒有癌細胞轉移 M1：遠端器官有癌細胞轉移，例如腦、肝、肺等 Mx：未知,,,pending,,
D063,(復發) 癌症臨床分期：TNM 計算結果,復發／de novo mBC,"預設為空白，由系統自動計算「D060」、「D061」、「D062」三欄英文代號值合併結果，若有對應下列的Stage，則由系統代入其對應的Stage，若無任何對應的Stage，則需自行填寫，不能空白。 e.g.「D060」填入[T4]，「D061」填入[N0]，「D062」填入[M0]，合併計算結果為［T4N0M0］，其所對應的Stage為「StageⅢB」，則系統將此欄位值自動代入［StageⅢB］ e.g.「D060」填入[T4]，「D061」填入[Nx]，「D062」填入[M0]，合併計算結果為［T4NxM0］，沒有對應的Stage則需由使用者自行填入值StageⅠ~Ⅳ。 ==================== Stage ================= Stage 0： ['TisN0M0'] StageⅠA：['T1N0M0'] StageⅠB：['T0N1miM0', 'T1N1miM0'] StageⅡA：['T2N0M0', 'T0N1M0', 'T1N1M0'] StageⅡB：['T3N0M0', 'T2N1M0'] StageⅢA：['T3N1M0', 'T3N2M0', 'T0N2M0', 'T1N2M0', 'T2N2M0'] StageⅢB：['T4N0M0', 'T4N1M0', 'T4N2M0'] StageⅢC：['anyTN3M0'] StageⅣ：['anyTanyNM1'] Stage X：['TxNxMx', 'TxNxM0']",,,pending,,
D064,(復發) 病理期別 T,復發／de novo mBC,T0：No evidence of primary tumor Tis：(DCIS)*Ductal carcinoma in situ T1：腫瘤小於等於2公分 T2：腫瘤大於2公分，小於等於5公分 T3：腫瘤大於5公分 T4：腫瘤已侵犯至胸壁或是皮膚(潰瘍或結節)，發炎性乳癌 Tx：未知,,,pending,,
D065,(復發) 病理期別 N,復發／de novo mBC,N0：沒有淋巴結轉移 N1mi：微小轉移(0.2-2mm) N1：同側腋下淋巴結1~3顆有癌細胞轉移 N2：同側腋下淋巴結4~9顆有癌細胞轉移 N3：同側腋下淋巴結大於等於10顆有癌細胞轉移 Nx：未知,,,pending,,
D066,(復發) 病理期別 M,復發／de novo mBC,M0：遠端器官沒有癌細胞轉移 M1：遠端器官有癌細胞轉移，例如腦、肝、肺等 Mx：未知,,,pending,,
D067,(復發) 癌症病理分期：TNM 計算結果,復發／de novo mBC,"預設為空白，由系統自動計算「D064」、「D065」、「D066」三欄英文代號值合併計算結果，若有對應下列的Stage，則由系統代入其對應的Stage，若無任何對應的Stage，則需自行填寫，不能空白。 e.g.「D0064」填入[T4]，「D0065」填入[N0]，「D0066」填入[M0]，合併計算結果為［T4N0M0］，其所對應的Stage為「StageⅢB」，則系統將此欄位值自動代入［StageⅢB］ e.g.「D0064」填入[T4]，「D0065」填入[Nx]，「D0066」填入[M0]，合併計算結果為［T4NxM0］，沒有對應的Stage則需由使用者自行填入值StageⅠ~Ⅳ。 ==================== Stage ================= Stage 0：['TisN0M0'] StageⅠA：['T1N0M0'] StageⅠB：['T0N1miM0', 'T1N1miM0'] StageⅡA：['T2N0M0', 'T0N1M0', 'T1N1M0'] StageⅡB：['T3N0M0', 'T2N1M0'] StageⅢA：['T3N1M0', 'T3N2M0', 'T0N2M0', 'T1N2M0', 'T2N2M0'] StageⅢB：['T4N0M0', 'T4N1M0', 'T4N2M0'] StageⅢC：['anyTN3M0'] StageⅣ：['anyTanyNM1'] Stage X：['TxNxMx', 'TxNxM0']",,,pending,,
D068,(復發) 復發位置,復發／de novo mBC,"※ 填入代碼，可複選 ※ 複選以逗點相隔 e.g. 1,5,10,11,12 (以半形英文逗號「,」連接數字) 1：乳房(局部復發) 2：遠端淋巴 3：皮膚 4：骨 5：肝 6：肺 7：腦 8：骨髓 9：胸膜 10：腹膜 11：腎上腺 12：對側腋下淋巴 13：其他",,,pending,,
D069,(復發) 復發位置：其他,復發／de novo mBC,※ (復發) 復發位置「D068」選項包含「13：其他」，才需填寫 內容自訂，文字格式,,,pending,,
D070,(復發) 哨兵淋巴結,復發／de novo mBC,X：未檢驗 0：陰性 1：陽性,,,pending,,
