tag,label,section,required_marker,always_required,source_format,max_length,data_type,allowed_values,multi_select,minimum,maximum,required_when,rule_ids,source_rule
D040,(術後) 哨兵淋巴結：哨兵淋巴結顆數,術後病理,△,False,X(2),2,integer,,False,1,99,"['TM02=1 AND D038 IN (0,1)']",QBC-D040-SENTINEL,※「D038」為[0：陰性]或[1：陽性]時，必填。 填入範圍值：1-99
D041,(術後) 腋下淋巴結,術後病理,△,False,X(1),1,code,"X,0,1",False,,,"['TM02=1 AND DIAG_TYPE IN (1,2)']",QBC-TM02-SURGERY-POSTOP-REQUIRED,X：未檢驗 0：陰性 1：陽性
D042,(術後) 腋下淋巴結：陽性顆數,術後病理,△,False,X(2),2,integer,,False,1,99,['TM02=1 AND D041=1'],QBC-D042-AXILLARY,※「D041」為[1：陽性]時，必填。 填入範圍值：1-99
D043,(術後) 腋下淋巴結：腋下淋巴結顆數,術後病理,△,False,X(2),2,integer,,False,1,99,"['TM02=1 AND D041 IN (0,1)']",QBC-D043-AXILLARY,※「D041」為[0.陰性]或[1.陽性]時，必填。 填入範圍值：1-99
D044,(術後) 淋巴結陽性數量,術後病理,△,False,X(1),1,code,"0,1",False,,,"['TM02=1 AND DIAG_TYPE IN (1,2)']","QBC-TM02-SURGERY-POSTOP-REQUIRED,QBC-D044-NODE",※「D038」、「D041」任一項滿足[1：陽性]，需填寫此欄位。 0：無 1：有
D045,(術後) 淋巴結陽性數量：Micro-Metastasis 顆數,術後病理,△,False,X(2),2,integer,,False,0,99,"['TM02=1 AND D044=1 (AT LEAST ONE OF D045,D046)']",QBC-D045-D046-ONE,※「D044」為[1：有]時，「D045」與「D046」至少填一項。 填入範圍值：0-99
D046,(術後) 淋巴結陽性數量：Macro-Metastasis 顆數,術後病理,△,False,X(2),2,integer,,False,0,99,"['TM02=1 AND D044=1 (AT LEAST ONE OF D045,D046)']",QBC-D045-D046-ONE,※「D044」為「1：有]」時，「D045」與「D046」至少填一項。 填入範圍值：0-99
D047,(術後) 手術時顯微鏡下腫瘤大小,術後病理,△,False,X(5),5,decimal,,False,0,99.99,"['TM02=1 AND DIAG_TYPE IN (1,2)']",QBC-TM02-SURGERY-POSTOP-REQUIRED,填入範圍值：0.00-99.99
D048,(術後) ER,術後病理,△,False,X(1),1,code,"X,0,1",False,,,"['TM02=1 AND DIAG_TYPE IN (1,2)']",QBC-TM02-SURGERY-POSTOP-REQUIRED,X：未檢驗 0：陰性 1：陽性
D049,(術後) ER 數值,術後病理,△,False,X(3),3,integer,,False,1,100,['TM02=1 AND D048=1'],QBC-D049-ER,※(術後) ER「D048」為[1：陽性]時，才需填寫。 填入範圍值：01-100 整數百分比(%)
D050,(術後) PR,術後病理,△,False,X(1),1,code,"X,0,1",False,,,"['TM02=1 AND DIAG_TYPE IN (1,2)']",QBC-TM02-SURGERY-POSTOP-REQUIRED,X：未檢驗 0：陰性 1：陽性
D051,(術後) PR 數值,術後病理,△,False,X(3),3,integer,,False,1,100,['TM02=1 AND D050=1'],QBC-D051-PR,※「D050」為[1：陽性]時，才需填寫。 填入範圍值：01-100 整數百分比(%)
D052,(術後) HER2,術後病理,△,False,X(1),1,code,"X,0,1,2,3",False,,,"['TM02=1 AND DIAG_TYPE IN (1,2)']",QBC-TM02-SURGERY-POSTOP-REQUIRED,X：未檢驗 0：IHC 0 (negative or score 0) 1：IHC 1+(negative or score 1+) 2：IHC 2+(equivocal or score 2+) 3：IHC 3+(positive or score 3+)
D053,(術後) HER2：FISH,術後病理,,False,X(1),1,code,"0,1",False,,,['TM02=1 AND D052=2'],QBC-D053-HER2,※「D052」為[2：IHC 2+(equivocal or score 2+)]時，才需填寫。 0：negative 1：positive
D054,(術後) Ki-67,術後病理,△,False,X(1),1,code,"0,1",False,,,"['TM02=1 AND DIAG_TYPE IN (1,2)']",QBC-TM02-SURGERY-POSTOP-REQUIRED,0：未檢驗 1：有檢驗
D055,(術後) Ki-67 數值,術後病理,△,False,X(3),3,integer,,False,1,100,['TM02=1 AND D054=1'],QBC-D055-KI67,※ 「D054」為[1：有檢驗]時，才需填寫。 填入範圍值：01-100 整數百分比(%)
D056,(術後) BRCA 1/2,術後病理,△,False,X(1),1,code,"X,0,1",False,,,"['TM02=1 AND DIAG_TYPE IN (1,2)']",QBC-TM02-SURGERY-POSTOP-REQUIRED,X：未檢驗 0：無突變 1：有突變
D057,(術後) PD-L1,術後病理,,False,X(1),1,code,"X,0,1",False,,,"['TM02=1 AND DIAG_TYPE IN (1,2)']",QBC-TM02-SURGERY-POSTOP-REQUIRED,X：未檢驗 0：陰性 1：陽性
D058,(復發) 診斷日期,復發／de novo mBC,△,False,X(8),8,date,,False,,,['DIAG_TYPE=3'],QBC-DIAGTYPE3-RECURRENCE-REQUIRED,固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206
D059,(復發) 診斷院所,復發／de novo mBC,△,False,X(1),1,code,"1,2",False,,,['DIAG_TYPE=3'],QBC-DIAGTYPE3-RECURRENCE-REQUIRED,1：本院 2：他院
D060,(復發) 臨床期別 T,復發／de novo mBC,△,False,X(5),5,code,"T0,Tis,T1,T2,T3,T4,Tx",False,,,['DIAG_TYPE=3'],QBC-DIAGTYPE3-RECURRENCE-REQUIRED,T0：No evidence of primary tumor Tis：(DCIS)*Ductal carcinoma in situ T1：腫瘤小於等於2公分 T2：腫瘤大於2公分，小於等於5公分 T3：腫瘤大於5公分 T4：腫瘤已侵犯至胸壁或是皮膚(潰瘍或結節)，發炎性乳癌 Tx：未知
D061,(復發) 臨床期別 N,復發／de novo mBC,△,False,X(5),5,code,"N0,N1mi,N1,N2,N3,Nx",False,,,['DIAG_TYPE=3'],QBC-DIAGTYPE3-RECURRENCE-REQUIRED,N0：無區域淋巴結轉移（影像學或臨床檢查） N1mi：微小轉移(0.2-2mm) N1：轉移至同側可移動的 I、II 區腋窩淋巴結 N2：轉移至同側 I、II 區腋窩淋巴結，臨床表現為固定或融合；或轉移至同側內乳淋巴結，但無腋窩淋巴結轉移 N3：轉移至同側鎖骨下（III 區腋窩）淋巴結，伴或不伴 I、II 區腋窩淋巴結受累；或轉移至同側內乳淋巴結，伴隨 I、II 區腋窩淋巴結轉移；或同側鎖骨上淋巴結轉移，伴隨或不伴隨腋窩或內乳淋巴結受累 Nx：未知
D062,(復發) 臨床期別 M,復發／de novo mBC,△,False,X(5),5,code,"M0,M1,Mx",False,,,['DIAG_TYPE=3'],QBC-DIAGTYPE3-RECURRENCE-REQUIRED,M0：遠端器官沒有癌細胞轉移 M1：遠端器官有癌細胞轉移，例如腦、肝、肺等 Mx：未知
D063,(復發) 癌症臨床分期：TNM 計算結果,復發／de novo mBC,△,False,X(20),20,string,,False,,,['DIAG_TYPE=3'],"QBC-DIAGTYPE3-RECURRENCE-REQUIRED,QBC-D063-TNM","預設為空白，由系統自動計算「D060」、「D061」、「D062」三欄英文代號值合併結果，若有對應下列的Stage，則由系統代入其對應的Stage，若無任何對應的Stage，則需自行填寫，不能空白。 e.g.「D060」填入[T4]，「D061」填入[N0]，「D062」填入[M0]，合併計算結果為［T4N0M0］，其所對應的Stage為「StageⅢB」，則系統將此欄位值自動代入［StageⅢB］ e.g.「D060」填入[T4]，「D061」填入[Nx]，「D062」填入[M0]，合併計算結果為［T4NxM0］，沒有對應的Stage則需由使用者自行填入值StageⅠ~Ⅳ。 ==================== Stage ================= Stage 0： ['TisN0M0'] StageⅠA：['T1N0M0'] StageⅠB：['T0N1miM0', 'T1N1miM0'] StageⅡA：['T2N0M0', 'T0N1M0', 'T1N1M0'] StageⅡB：['T3N0M0', 'T2N1M0'] StageⅢA：['T3N1M0', 'T3N2M0', 'T0N2M0', 'T1N2M0', 'T2N2M0'] StageⅢB：['T4N0M0', 'T4N1M0', 'T4N2M0'] StageⅢC：['anyTN3M0'] StageⅣ：['anyTanyNM1'] Stage X：['TxNxMx', 'TxNxM0']"
D064,(復發) 病理期別 T,復發／de novo mBC,△,False,X(5),5,code,"T0,Tis,T1,T2,T3,T4,Tx",False,,,['DIAG_TYPE=3'],QBC-DIAGTYPE3-RECURRENCE-REQUIRED,T0：No evidence of primary tumor Tis：(DCIS)*Ductal carcinoma in situ T1：腫瘤小於等於2公分 T2：腫瘤大於2公分，小於等於5公分 T3：腫瘤大於5公分 T4：腫瘤已侵犯至胸壁或是皮膚(潰瘍或結節)，發炎性乳癌 Tx：未知
D065,(復發) 病理期別 N,復發／de novo mBC,△,False,X(5),5,code,"N0,N1mi,N1,N2,N3,Nx",False,,,['DIAG_TYPE=3'],QBC-DIAGTYPE3-RECURRENCE-REQUIRED,N0：沒有淋巴結轉移 N1mi：微小轉移(0.2-2mm) N1：同側腋下淋巴結1~3顆有癌細胞轉移 N2：同側腋下淋巴結4~9顆有癌細胞轉移 N3：同側腋下淋巴結大於等於10顆有癌細胞轉移 Nx：未知
D066,(復發) 病理期別 M,復發／de novo mBC,△,False,X(5),5,code,"M0,M1,Mx",False,,,['DIAG_TYPE=3'],QBC-DIAGTYPE3-RECURRENCE-REQUIRED,M0：遠端器官沒有癌細胞轉移 M1：遠端器官有癌細胞轉移，例如腦、肝、肺等 Mx：未知
