cancer_group,source_field,source_code_system,source_value_set,source_code,source_display,target_system,target_version,target_code,relationship,review_status,reviewer,evidence_reference,decision_date,notes
breast,CLASSOFDIAG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-classofdiag,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-classofdiag-vs,2,於他院診斷，因該癌症於首次療程內/未復發/復發狀況不明下，至申報醫院就診。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CLASSOFDIAG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-classofdiag,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-classofdiag-vs,3,於他院診斷，因該癌症復發或惡化後，才至申報醫院就診。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CLASSOFDIAG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-classofdiag,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-classofdiag-vs,5,屍體解剖時才診斷為癌症。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CLASSOFDIAG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-classofdiag,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-classofdiag-vs,7,僅有病理檢查報告，個案未因診斷或治療癌症而到申報醫院。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CLASSOFDIAG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-classofdiag,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-classofdiag-vs,8,僅由死亡診斷證明書診斷為癌症。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CLASSOFTREAT,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-classoftreat,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-classoftreat-vs,0,未於申報醫院接受任何治療即死亡。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CLASSOFTREAT,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-classoftreat,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-classoftreat-vs,1,僅於申報醫院接受首次療程，未於他院接受任何首次療程。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CLASSOFTREAT,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-classoftreat,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-classoftreat-vs,2,未於申報醫院接受任何首次療程（僅於他院接受，或主要治療計畫由他院規劃）。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CLASSOFTREAT,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-classoftreat,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-classoftreat-vs,3,於申報醫院接受部分首次療程，也於他院接受部分首次療程。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,CLASSOFTREAT,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-classoftreat,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-classoftreat-vs,4,首次療程為不予治療或再密切觀察，或僅給予非腫瘤切除之緩和性手術/疼痛控制/支持療法。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
